observation_date,USALORSGPNOSTSAM
1987-09-01,100.19600000000000
1987-10-01,100.30020000000000
1987-11-01,100.38809999999999
1987-12-01,100.44850000000000
1988-01-01,100.48840000000000
1988-02-01,100.52170000000000
1988-03-01,100.55920000000000
1988-04-01,100.60050000000000
1988-05-01,100.64019999999999
1988-06-01,100.67619999999999
1988-07-01,100.71620000000000
1988-08-01,100.77119999999999
1988-09-01,100.84829999999999
1988-10-01,100.94289999999999
1988-11-01,101.04470000000001
1988-12-01,101.14250000000000
1989-01-01,101.22900000000000
1989-02-01,101.29940000000001
1989-03-01,101.35090000000000
1989-04-01,101.38440000000000
1989-05-01,101.40130000000001
1989-06-01,101.40280000000000
1989-07-01,101.39000000000000
1989-08-01,101.36499999999999
1989-09-01,101.33369999999999
1989-10-01,101.30870000000000
1989-11-01,101.30260000000000
1989-12-01,101.31990000000000
1990-01-01,101.34920000000000
1990-02-01,101.37080000000000
1990-03-01,101.36490000000001
1990-04-01,101.31980000000000
1990-05-01,101.22730000000000
1990-06-01,101.08080000000000
1990-07-01,100.87779999999999
1990-08-01,100.61870000000000
1990-09-01,100.31150000000000
1990-10-01,99.97881000000000
1990-11-01,99.64933000000001
1990-12-01,99.35104000000000
1991-01-01,99.10445000000000
1991-02-01,98.92297000000001
1991-03-01,98.80978000000000
1991-04-01,98.74979000000000
1991-05-01,98.72202000000000
1991-06-01,98.70782000000000
1991-07-01,98.69681000000000
1991-08-01,98.68635000000000
1991-09-01,98.68073000000000
1991-10-01,98.69019000000000
1991-11-01,98.72649000000000
1991-12-01,98.79716999999999
1992-01-01,98.89793000000000
1992-02-01,99.01931000000000
1992-03-01,99.15116999999999
1992-04-01,99.28545000000000
1992-05-01,99.41605000000000
1992-06-01,99.53831000000000
1992-07-01,99.64852000000000
1992-08-01,99.74229000000000
1992-09-01,99.81337000000001
1992-10-01,99.85355000000000
1992-11-01,99.85539000000000
1992-12-01,99.81686000000001
1993-01-01,99.74854000000001
1993-02-01,99.66578000000000
1993-03-01,99.58287000000000
1993-04-01,99.50812000000001
1993-05-01,99.44736000000000
1993-06-01,99.40661000000000
1993-07-01,99.39357000000000
1993-08-01,99.41553000000000
1993-09-01,99.47499000000001
1993-10-01,99.56271000000000
1993-11-01,99.66566000000000
1993-12-01,99.77292000000000
1994-01-01,99.88000000000000
1994-02-01,99.98527000000000
1994-03-01,100.08610000000000
1994-04-01,100.17470000000000
1994-05-01,100.24260000000000
1994-06-01,100.28540000000000
1994-07-01,100.30860000000000
1994-08-01,100.32020000000000
1994-09-01,100.32380000000001
1994-10-01,100.31280000000000
1994-11-01,100.27650000000000
1994-12-01,100.20680000000000
1995-01-01,100.10710000000000
1995-02-01,99.98653000000000
1995-03-01,99.85683000000000
1995-04-01,99.73045999999999
1995-05-01,99.61799999999999
1995-06-01,99.52531000000000
1995-07-01,99.44963000000000
1995-08-01,99.38527999999999
1995-09-01,99.32805000000000
1995-10-01,99.27839000000000
1995-11-01,99.24084000000001
1995-12-01,99.22251000000000
1996-01-01,99.23076000000000
1996-02-01,99.27070999999999
1996-03-01,99.34074000000000
1996-04-01,99.42561000000001
1996-05-01,99.50573000000000
1996-06-01,99.56536000000000
1996-07-01,99.60082000000000
1996-08-01,99.61481999999999
1996-09-01,99.61235000000001
1996-10-01,99.59796000000000
1996-11-01,99.57710000000000
1996-12-01,99.55820000000000
1997-01-01,99.55502000000000
1997-02-01,99.58105000000000
1997-03-01,99.64265000000000
1997-04-01,99.72996000000001
1997-05-01,99.82601000000000
1997-06-01,99.91377000000000
1997-07-01,99.98237000000000
1997-08-01,100.02589999999999
1997-09-01,100.04340000000001
1997-10-01,100.04070000000000
1997-11-01,100.02589999999999
1997-12-01,100.00660000000001
1998-01-01,99.98806000000000
1998-02-01,99.97421000000000
1998-03-01,99.96946000000000
1998-04-01,99.97956000000001
